concept,category,domain_l,visual_HR,lexical_HR,lexical_FAR,visual_FAR
accent lamp,furniture,nonliving,0.222222,0.522727,0.48,0.055555556
accordion,musical instruments,nonliving,0.535714,0.592593,0.444444444,0.418604651
acoustic guitar,musical instruments,nonliving,0.571429,0.555556,0.714285714,0.37037037
agave plant,plant,living,0.74,0.571429,0.321428571,0.344827586
air conditioner,street items,nonliving,0.491228,0.32,0.380952381,0.222222222
alarm clock,household items,nonliving,0.408163,NA,NA,0.142857143
almond,food,nonliving,0.732143,0.6,0.404761905,0.386363636
ambulance,vehicle,nonliving,0.655172,0.571429,0.25,0.22
amplifier,electronics,nonliving,0.166667,0.314285714,0.466666667,0.26
anchor,tool,nonliving,0.607143,0.407407,0.444444444,0.222222222
ankle,body parts,living,0.888889,0.586207,0.303030303,0.12244898
ant,insect,living,0.772727,0.674419,0.307692308,0.20754717
antelope,mammal,living,0.714286,0.678571,0.407407407,0.413793103
apple,fruit,living,0.767442,0.697674,0.444444444,0.428571429
aqueduct,building,nonliving,0.54,0.269231,0.25,0.185185185
arch,building,nonliving,0.6,0.355556,0.423076923,0.392857143
armchair,furniture,nonliving,0.285714,0.37037,0.538461538,0.224489796
armoire,furniture,nonliving,0.517241,0.518519,0.321428571,0.541666667
armor,clothing,nonliving,0.696429,0.592593,0.348837209,0.133333333
armored personnel vehicle,vehicle,nonliving,0.473684,0.296296,0.279069767,0.155555556
arrow,military,nonliving,0.571429,0.481481,0.422222222,0.333333333
artichoke,vegetable,living,0.955556,0.545455,0.518518519,0.454545455
ashtray,furniture,nonliving,0.76,0.366667,NA,0.138888889
asparagus,vegetable,living,0.694444,NA,0.724137931,0.183673469
ATM,street items,nonliving,0.577778,0.511111,0.518518519,0.196428571
ATV,vehicle,nonliving,0.574074,0.384615,0.409090909,0.355555556
avocado,vegetable,living,0.844444,0.75,0.692307692,0.418181818
axe,tool,nonliving,0.52,0.535714,0.423076923,0.321428571
baboon,mammal,living,0.714286,0.62963,0.285714286,0.448275862
baby bottle,baby,nonliving,0.489796,0.571429,0.464285714,0.206896552
baby carriage,baby,nonliving,0.466667,0.622222,0.461538462,0.214285714
baby monitor,electronics,nonliving,0.545455,0.568182,0.37037037,0.232142857
baby shoes,baby,nonliving,0.522727,0.395349,0.269230769,0.090909091
backpack,clothing,nonliving,0.408163,0.586207,NA,0.285714286
badminton racquet,sports,nonliving,0.530612,NA,NA,0.363636364
baking pan,kitchen items,nonliving,0.4,0.533333,0.457142857,0.3
ballet slipper,clothing,nonliving,0.38,0.678571,0.428571429,0.137931034
balloon,toys,nonliving,0.446429,0.518519,0.431818182,0.133333333
banana,fruit,living,0.62069,0.730769,0.555555556,0.551020408
banjo,musical instruments,nonliving,0.241379,0.37037,0.333333333,0.22
bar,furniture,nonliving,0.277778,0.535714,0.428571429,0.18
bar of soap,household items,nonliving,0.55102,0.642857,0.428571429,0.103448276
barn,building,nonliving,0.5,0.586207,0.514285714,0.38
barnacles,sea,living,0.840909,0.44186,0.407407407,0.218181818
barometer,tool,nonliving,0.589286,0.37037,0.409090909,0.133333333
barrel,furniture,nonliving,0.688889,0.581395,0.481481481,0.263157895
baseball,sports,nonliving,0.6,0.62963,0.333333333,0.321428571
baseball bat,sports,nonliving,0.607143,0.538462,0.595238095,0.355555556
basketball,sports,nonliving,0.527273,0.384615,0.318181818,0.511111111
bass,sea,living,0.75,0.52,0.454545455,0.139534884
basset hound,mammal,living,0.833333,NA,0.709677419,0.24
bassoon,musical instruments,nonliving,0.642857,0.357143,0.461538462,0.4
bathtub,furniture,nonliving,0.527778,NA,0.620689655,0.38
battery,electronics,nonliving,0.38,0.5,0.555555556,0.115384615
beach chair,furniture,nonliving,0.4,0.448276,NA,0.055555556
beagle,mammal,living,0.888889,0.8,0.457142857,0.62
beanbag,furniture,nonliving,0.638889,NA,0.3,0.224489796
beanie,clothing,nonliving,0.407407,0.269231,0.311111111,0.204545455
bear,mammal,living,0.8,0.755556,0.576923077,0.527272727
bed,furniture,nonliving,0.138889,NA,0.387096774,0.14
bee,insect,living,0.586207,0.714286,0.851851852,0.36
beer bottle,kitchen items,nonliving,0.342857,0.566667,0.411764706,0.18
beetle,insect,living,0.745455,0.692308,0.837209302,0.355555556
bell,musical instruments,nonliving,0.644444,0.6,0.555555556,0.614035088
bell pepper,vegetable,living,0.827586,0.714286,0.423076923,0.44
belt,clothing,nonliving,0.653061,0.413793,NA,0.222222222
bench,street items,nonliving,0.714286,0.75,0.428571429,0.482758621
beret,clothing,nonliving,0.592593,0.48,0.395348837,0.11627907
bib,baby,nonliving,0.446429,0.481481,0.255813953,0.133333333
bicycle,vehicle,nonliving,0.444444,NA,0.633333333,0.458333333
bike helmet,clothing,nonliving,0.46,0.5,0.4,0.206896552
bike rack,street items,nonliving,0.413793,0.285714,0.269230769,0.2
binder,office tool,nonliving,0.321429,0.153846,0.295454545,0.177777778
binoculars,tool,nonliving,0.448276,0.62963,0.555555556,0.48
biplane,vehicle,nonliving,0.46,0.259259,0.285714286,0.344827586
birdcage,furniture,nonliving,0.535714,0.615385,0.488888889,0.159090909
birdhouse,furniture,nonliving,0.428571,0.571429,0.357142857,0.28
black-eyed peas,vegetable,living,0.428571,0.3,NA,0.257142857
blackberry,fruit,living,0.514286,0.607143,0.303030303,0.183673469
bleachers,street items,nonliving,0.690909,0.461538,0.372093023,0.355555556
blender,appliances,nonliving,0.413793,0.555556,0.423076923,0.3
bloodhound,mammal,living,0.75,0.592593,0.444444444,0.448275862
bloody mary,food,nonliving,0.795918,0.481481,0.357142857,0.172413793
blouse,clothing,nonliving,0.533333,0.348837,0.307692308,0.142857143
blueberry,fruit,living,0.9,0.777778,0.357142857,0.428571429
bluebird,birds,living,0.74,0.428571,NA,0.5
boar,mammal,living,0.68,0.5,0.444444444,0.379310345
bobber,tool,nonliving,0.464286,0.444444,0.296296296,0.18
bongo drum,musical instruments,nonliving,0.416667,0.677419,0.484848485,0.3
