concept,category,domain,hit_visual,hit_lexical,far_lexical,far_visual,Energy,JPEG_size,PNWS,H,S,V,layer3,layer6,layer8,coca_frequency,name_agreement,NoF_noTax,CS,MD,CSxD
accent lamp,furniture,nonliving,0.222222,0.522727,0.48,0.055555556,15,9365,0.43457,0.18187,0.2066,87.5272,0.86319,1.4778,1.6643,1,0.958333333,50,0.12643,0.066518458,1.219766043
accordion,musical instruments,nonliving,0.535714,0.592593,0.444444444,0.418604651,16,20608,0.77148,0.17937,0.21896,92.3972,0.79587,1.3854,1.8133,735,0.619047619,40,0.12435,0.069988786,1.616130117
acoustic guitar,musical instruments,nonliving,0.571429,0.555556,0.714285714,0.37037037,5,9320,0.43593,0.17334,0.22532,92.0895,0.89225,1.4312,1.5201,211,0.333333333,31,0.15307,0.063369197,1.250463588
agave plant,plant,living,0.74,0.571429,0.321428571,0.344827586,5,11319,0.48898,0.17223,0.21915,90.8883,0.82714,1.645,1.8267,1746,0.958333333,37,0.17809,0.099671822,2.157341392
air conditioner,street items,nonliving,0.491228,0.32,0.380952381,0.222222222,47,16927,0.98726,0.17138,0.21236,94.7455,0.84007,1.381,2.0164,820,0.708333333,44,0.12645,0.075385636,1.620082036
alarm clock,household items,nonliving,0.408163,NA,NA,0.142857143,39,14457,0.64871,0.1682,0.20851,97.5263,0.66785,1.3305,1.602,1,0.791666667,34,0.17761,0.090529908,1.412134293
almond,food,nonliving,0.732143,0.6,0.404761905,0.386363636,2,11618,0.61708,0.16209,0.22381,97.7677,1.2735,1.5686,2.1335,2596,0.541666667,41,0.17017,0.114331197,2.502206778
ambulance,vehicle,nonliving,0.655172,0.571429,0.25,0.22,15,11413,0.57929,0.16402,0.21673,98.2854,0.78315,1.3097,1.9678,4194,0.791666667,34,0.18072,0.076055784,1.450314934
amplifier,electronics,nonliving,0.166667,0.314285714,0.466666667,0.26,2,22239,0.84209,0.1629,0.23379,99.7918,0.93474,1.4087,1.8261,12889,0.25,37,0.14506,0.068306143,1.353142521
anchor,tool,nonliving,0.607143,0.407407,0.444444444,0.222222222,9,8019,0.23447,0.16087,0.22954,96.9551,1.1583,1.7609,1.898,4942,0.791666667,27,0.13506,0.063689098,1.082871528
ankle,body parts,living,0.888889,0.586207,0.303030303,0.12244898,11,8315,0.50836,0.15984,0.22754,96.7461,0.93169,1.8054,1.827,7397,0.875,50,0.17619,0.13754158,2.042467121
ant,insect,living,0.772727,0.674419,0.307692308,0.20754717,10,8020,0.68593,0.15753,0.24041,99.2845,0.89743,1.6436,1.9073,3981,1,37,0.1631,0.077622465,1.809377862
antelope,mammal,living,0.714286,0.678571,0.407407407,0.413793103,9,11327,0.4707,0.15451,0.24005,98.9883,0.8857,1.4903,2.1162,1175,0.291666667,40,0.16769,0.079892631,2.279999946
apple,fruit,living,0.767442,0.697674,0.444444444,0.428571429,2,11156,0.82018,0.15314,0.25496,102.7626,1.4503,1.5004,1.8753,12172,1,48,0.17811,0.073784017,1.963966343
aqueduct,building,nonliving,0.54,0.269231,0.25,0.185185185,13,14019,0.47424,0.15032,0.25064,101.6233,1.0263,1.4854,2.0893,351,0.208333333,29,0.15342,0.04445989,0.938931835
arch,building,nonliving,0.6,0.355556,0.423076923,0.392857143,11,18713,0.75907,0.14824,0.25209,102.8012,0.89014,1.4511,1.896,3454,0.75,40,0.15824,0.091131475,2.122646174
armchair,furniture,nonliving,0.285714,0.37037,0.538461538,0.224489796,5,15229,0.71931,0.14691,0.26245,102.1447,1.0868,1.5632,2.0303,1607,0.375,37,0.16971,0.112975827,1.698184749
armoire,furniture,nonliving,0.517241,0.518519,0.321428571,0.541666667,2,14175,0.59423,0.14397,0.26328,101.2045,0.90293,1.4725,1.6562,350,0.25,30,0.12952,0.052822177,0.995834584
